id,target,lukas
1237354,0,0.05963381752371788
525008,0,0.07134387046098709
425680,0,0.03853592798113823
1156017,0,0.055860108137130736
17538,0,0.03551662042737007
1443564,0,0.03032829575240612
1407491,0,0.037419450283050534
971296,0,0.024421734362840654
1213354,0,0.017910002544522286
363915,0,0.06099858805537224
324491,0,0.034899578988552095
249784,0,0.09939243048429489
833752,0,0.04720670133829117
550419,0,0.05951155126094818
1071834,0,0.03571585565805435
36938,0,0.07737181037664413
548755,0,0.05884076505899429
1470728,0,0.06574656218290328
604032,0,0.03179076835513115
475906,0,0.02571115717291832
590620,0,0.019780822470784186
102668,0,0.043166786432266235
409223,0,0.05115525424480438
247529,0,0.05443467795848846
307526,0,0.06430081501603127
508203,0,0.1979682832956314
1063865,1,0.14668673127889634
218095,0,0.03495219685137272
1199380,0,0.04772524908185005
335761,0,0.055923505872488025
1169249,0,0.09860916435718536
556341,0,0.028739820048213006
328913,0,0.02369964271783829
1473577,0,0.043361344188451764
1383575,0,0.06134397834539414
136006,0,0.07823778986930847
1029209,0,0.08552988469600678
781690,0,0.0545069120824337
900133,0,0.038133285194635394
589088,1,0.05976982042193413
89603,0,0.06989458948373795
46990,0,0.02919946163892746
1355402,0,0.019502682611346245
410335,0,0.06504249125719071
63880,0,0.06221561431884766
417913,0,0.05889781340956688
303212,0,0.12098738253116607
1387567,0,0.08045541346073151
1255939,0,0.08375185281038285
1383452,0,0.10751360803842544
330004,1,0.0557120256125927
329187,0,0.04424058198928833
913837,0,0.024619759991765022
728671,0,0.02048974111676216
1022970,0,0.03450670950114727
101285,0,0.05764647349715233
1320531,0,0.03745488375425339
1270916,0,0.07150646522641183
1353825,0,0.047281671315431595
826295,0,0.07678574621677399
1097303,0,0.06654683873057365
1106877,0,0.048385641723871234
1487433,0,0.036355452984571456
130081,0,0.021594467386603356
277436,0,0.04892036318778992
732755,0,0.050088655203580856
440243,0,0.12199748605489731
376529,0,0.20867084562778473
318205,0,0.03715187162160873
1378160,0,0.0611425943672657
685056,0,0.06732910796999932
1416065,0,0.06389934942126274
583,0,0.10916091501712799
1146189,0,0.06248340606689453
174593,0,0.03544273599982262
860495,0,0.0650649182498455
755359,0,0.05430742129683495
1115900,0,0.04473792165517807
1418041,0,0.043146008253097536
241739,1,0.06989807337522506
451199,0,0.07229538708925247
947859,0,0.06425999030470848
304185,0,0.2182765632867813
376775,1,0.09420944303274155
314970,0,0.052443087100982666
1112345,0,0.02864110693335533
1309265,0,0.05070735514163971
991611,0,0.05923562049865723
743077,0,0.05572320595383644
428466,0,0.026299607753753663
1060606,0,0.05458549857139587
1193185,0,0.029881945997476577
1208884,0,0.03677408620715141
93768,0,0.10301589816808701
881127,0,0.034174129366874695
