id,bea,target
1237354,0.32016329107299957,0
525008,0.3143870143187334,0
425680,0.29030209097755993,0
1156017,0.3042399460088254,0
17538,0.28298625587287374,0
1443564,0.2863023319798001,0
1407491,0.29830553774533397,0
971296,0.2851005164543556,0
1213354,0.2664122679160513,0
363915,0.32971524267581,0
324491,0.2996902130705277,0
249784,0.32496680877750234,0
833752,0.3054027504602179,0
550419,0.31268624850256893,0
1071834,0.28402913628418125,0
36938,0.3195851979407502,0
548755,0.3004863389318341,0
1470728,0.3191353171044992,0
604032,0.2897589726575966,0
475906,0.27275367504985437,0
590620,0.2712590952909545,0
102668,0.29951433386992865,0
409223,0.30606341471878246,0
247529,0.31319841657498443,0
307526,0.3065609963559285,0
508203,0.337653552930916,0
1063865,0.3425024767009164,1
218095,0.3047405079346732,0
1199380,0.29799915565449664,0
335761,0.3103480332751693,0
1169249,0.33191064126105296,0
556341,0.28232933044465575,0
328913,0.26837891528925994,0
1473577,0.2950434667255795,0
1383575,0.31236809137995064,0
136006,0.30323732377816837,0
1029209,0.323765771104674,0
781690,0.30753301231355745,0
900133,0.28716038574646285,0
589088,0.3083831668844025,1
89603,0.3165986737839078,0
46990,0.30995561641866254,0
1355402,0.2706149657415909,0
410335,0.319037804184635,0
63880,0.303994696866822,0
417913,0.31090643066424783,0
303212,0.34781180519542876,0
1387567,0.32866335341698844,0
1255939,0.3234868510232776,0
1383452,0.3379395434452758,0
330004,0.31829299728981464,1
329187,0.2874245563429446,0
913837,0.26707756738106336,0
728671,0.26899688220315077,0
1022970,0.28440270621538705,0
101285,0.2995308068361867,0
1320531,0.3012998049078731,0
1270916,0.31798668844863365,0
1353825,0.29672509713300005,0
826295,0.33130972436321715,0
1097303,0.32075152772779864,0
1106877,0.29932830414413375,0
1487433,0.28556205553048264,0
130081,0.2766461012806477,0
277436,0.3060535743134591,0
732755,0.30535323526851055,0
440243,0.3376945422061689,0
376529,0.35005655528498925,0
318205,0.2805666779133211,0
1378160,0.30910751995515284,0
685056,0.29458998732255737,0
1416065,0.3057232212419221,0
583,0.3399161096475504,0
1146189,0.3158455629259339,0
174593,0.28720599199496755,0
860495,0.31597756355429524,0
755359,0.30934860772148054,0
1115900,0.30665790381350144,0
1418041,0.28890772488459787,0
241739,0.3144307836721945,1
451199,0.321513130410666,0
947859,0.30745359556325,0
304185,0.3523980377418613,0
376775,0.330245384351118,1
314970,0.31074470437722096,0
1112345,0.2894406706795603,0
1309265,0.29206684578271536,0
991611,0.3087101622900419,0
743077,0.30639083825227376,0
428466,0.2880029552074095,0
1060606,0.31197068356240776,0
1193185,0.28998991118049045,0
1208884,0.29641019685777037,0
93768,0.3308784356335303,0
881127,0.2868538210071748,0
650001,0.27287613177264086,0
1370060,0.31012656206898037,0
702859,0.3025182831588467,0
645087,0.2898903878334004,0
658841,0.2895304007748265,0
1291249,0.304655128360494,0
1273160,0.27263991144919436,0
1173177,0.29199625710867316,0
282587,0.3086193231327344,0
1123797,0.3013984465069399,0
602742,0.31299334572078175,0
1062176,0.29591679531666926,0
490953,0.2850430618541809,0
1068215,0.2860949638949927,0
780982,0.2841022119382844,0
1151927,0.3321445340088044,0
717722,0.32987046955156357,1
670639,0.30029619290529797,0
951152,0.3262416785625494,0
840831,0.30842191016968873,0
162314,0.3423075070176676,0
1072376,0.30053359379677913,0
49953,0.32321307225421336,0
1259877,0.3070987875191851,0
438934,0.32293658100722766,0
1456192,0.2706418186229864,0
924924,0.3033083196268702,0
616256,0.34250774325679345,0
997540,0.2805868149403988,0
849857,0.2953499910984046,0
1397437,0.32246020480300563,0
97173,0.29063002371337954,0
681223,0.2720593874467232,0
913050,0.31942174286930664,0
383259,0.28913539675893657,0
911886,0.31493326099213537,1
183556,0.32022191249207255,0
656565,0.30201110988660507,0
790645,0.30795416589782854,0
356704,0.3062721639828356,0
1263478,0.3097887081610904,0
512327,0.3248607779043746,0
199413,0.31997242337413256,0
649007,0.27672928153105447,0
1322423,0.2956082110212971,0
532009,0.3485837355553768,0
1398996,0.2820374082580638,0
1282469,0.2996596126451645,0
457958,0.31439898144417955,0
1431868,0.297250427929474,0
817057,0.2839336322885137,0
412483,0.2953277997859577,0
366310,0.31230291717863967,0
935625,0.29692409215868615,0
876905,0.3282481861233163,0
446589,0.2803684917465289,0
1315309,0.3158718016033795,0
60055,0.27405489904008673,0
295970,0.29558301637984796,0
920119,0.27841512277602687,0
203075,0.3177165005015302,0
1468238,0.32897223919919455,0
1463675,0.2989283274660233,0
414280,0.30493808338397504,0
1354760,0.2934446948969981,0
1094971,0.3271229657143243,0
1113521,0.28935761557469397,0
728303,0.31012575790874164,0
652948,0.29206031641646385,0
956532,0.3066454334773066,0
416057,0.2963090423929889,0
467173,0.30939705549728663,0
601627,0.2717869320219718,0
1157355,0.31246859999789645,0
841133,0.3195268887797189,0
130231,0.31553787613872786,0
582959,0.29333070667185257,0
334196,0.340849342746858,1
125081,0.3041884570282589,1
928238,0.31101450587047175,0
280177,0.3042620431001373,0
292498,0.2942384179274097,0
756628,0.3035973237033797,0
1022097,0.2662967108001207,0
982918,0.27130228064064,0
544634,0.31659876645634677,0
571564,0.29419790735738094,0
1328599,0.27912117161086447,0
1228780,0.3615183495850676,0
712557,0.32270894449969717,0
934995,0.3081047488098999,0
484633,0.30108006392014347,0
540087,0.30781381185530904,0
114175,0.2790228070689413,0
277734,0.30731889521460387,0
200161,0.2929410909388478,0
980499,0.3506544862041783,0
1120562,0.3071578267921484,0
351171,0.3112850274691665,0
801586,0.3335214770107261,0
362650,0.3102398117008212,0
1200720,0.31798693674131584,0
162378,0.330170124282317,0
247097,0.3166332690776097,0
1128169,0.2859581815621434,0
669586,0.2953555768747625,0
226708,0.30513978997541963,0
1224736,0.2841424411011057,0
1323585,0.28636014528054154,0
599784,0.3143065833213387,0
290287,0.2828315960014181,0
431558,0.3104893662205001,0
1121423,0.29530388208033026,0
689726,0.2820476906508248,0
1419940,0.3287724674699851,0
1110368,0.2998721865678828,0
319748,0.2916803344878961,0
924202,0.3022688024827399,0
113828,0.29791839169422585,0
1183699,0.32057619229915896,0
1406970,0.29321058686849616,0
269147,0.32176291779342703,0
143217,0.2849534390935702,0
1061455,0.32926905175713894,0
64040,0.2891568752078573,0
1029003,0.2993873391717602,0
262549,0.29543020555253297,0
219608,0.3179025144153281,0
1209644,0.33317204710101184,0
1439049,0.31673703840296047,0
472934,0.32031326648170155,0
30519,0.2901971986130626,0
1141244,0.3010283066750724,0
377236,0.3369805827615404,0
1012179,0.2897735916801542,0
1021692,0.28737638494196616,0
1290693,0.290773223028145,0
242066,0.28430370499001184,0
753400,0.3188656937392205,0
1117600,0.2932385285865208,0
1377731,0.3261292936268574,0
1035540,0.2802997568781579,0
266971,0.31742186010395473,1
285408,0.27294816770916397,0
565393,0.31122346659775585,0
1005898,0.30960174024650594,0
1248942,0.3043739977450973,0
358973,0.28045594915583777,0
515470,0.3016150914515143,0
658675,0.2961355185675029,0
1006502,0.28873909623391436,1
1290395,0.3206162135802779,0
1141273,0.2870275307522356,0
910425,0.31117094907832216,0
811829,0.28858308248494347,0
97459,0.3234708054479448,0
405050,0.2706857184133294,0
905653,0.28387080322095304,0
884672,0.2977091444154635,0
728060,0.29097041328398043,0
893216,0.30369276389120275,0
510335,0.3799738115812789,0
1244742,0.3183510129054915,0
33980,0.29576671625226647,0
1212043,0.3028212694308857,0
457548,0.27378121474316713,0
175658,0.30871861079680835,0
308046,0.30144488652991136,0
1003744,0.340659546329301,0
699142,0.2954219952576365,0
940946,0.3058714376246878,0
